id,name,url
0,centernet_hg104_512x512_coco17_tpu-8,http://download.tensorflow.org/models/object_detection/tf2/20200713/centernet_hg104_512x512_coco17_tpu-8.tar.gz
1,centernet_hg104_512x512_kpts_coco17_tpu-32,http://download.tensorflow.org/models/object_detection/tf2/20200711/centernet_hg104_512x512_kpts_coco17_tpu-32.tar.gz
2,centernet_hg104_1024x1024_coco17_tpu-32,http://download.tensorflow.org/models/object_detection/tf2/20200713/centernet_hg104_1024x1024_coco17_tpu-32.tar.gz
3,centernet_hg104_1024x1024_kpts_coco17_tpu-32,http://download.tensorflow.org/models/object_detection/tf2/20200711/centernet_hg104_1024x1024_kpts_coco17_tpu-32.tar.gz
4,centernet_resnet50_v1_fpn_512x512_coco17_tpu-8,http://download.tensorflow.org/models/object_detection/tf2/20200711/centernet_resnet50_v1_fpn_512x512_coco17_tpu-8.tar.gz
5,centernet_resnet50_v1_fpn_512x512_kpts_coco17_tpu-8,http://download.tensorflow.org/models/object_detection/tf2/20200711/centernet_resnet50_v1_fpn_512x512_kpts_coco17_tpu-8.tar.gz
6,centernet_resnet101_v1_fpn_512x512_coco17_tpu-8,http://download.tensorflow.org/models/object_detection/tf2/20200711/centernet_resnet101_v1_fpn_512x512_coco17_tpu-8.tar.gz
7,centernet_resnet50_v2_512x512_coco17_tpu-8,http://download.tensorflow.org/models/object_detection/tf2/20200711/centernet_resnet50_v2_512x512_coco17_tpu-8.tar.gz
8,centernet_resnet50_v2_512x512_kpts_coco17_tpu-8,http://download.tensorflow.org/models/object_detection/tf2/20200711/centernet_resnet50_v2_512x512_kpts_coco17_tpu-8.tar.gz
9,efficientdet_d0_coco17_tpu-32,http://download.tensorflow.org/models/object_detection/tf2/20200711/efficientdet_d0_coco17_tpu-32.tar.gz
10,efficientdet_d1_coco17_tpu-32,http://download.tensorflow.org/models/object_detection/tf2/20200711/efficientdet_d1_coco17_tpu-32.tar.gz
11,efficientdet_d2_coco17_tpu-32,http://download.tensorflow.org/models/object_detection/tf2/20200711/efficientdet_d2_coco17_tpu-32.tar.gz
12,efficientdet_d3_coco17_tpu-32,http://download.tensorflow.org/models/object_detection/tf2/20200711/efficientdet_d3_coco17_tpu-32.tar.gz
13,efficientdet_d4_coco17_tpu-32,http://download.tensorflow.org/models/object_detection/tf2/20200711/efficientdet_d4_coco17_tpu-32.tar.gz
14,efficientdet_d5_coco17_tpu-32,http://download.tensorflow.org/models/object_detection/tf2/20200711/efficientdet_d5_coco17_tpu-32.tar.gz
15,efficientdet_d6_coco17_tpu-32,http://download.tensorflow.org/models/object_detection/tf2/20200711/efficientdet_d6_coco17_tpu-32.tar.gz
16,efficientdet_d7_coco17_tpu-32,http://download.tensorflow.org/models/object_detection/tf2/20200711/efficientdet_d7_coco17_tpu-32.tar.gz
17,ssd_mobilenet_v2_320x320_coco17_tpu-8,http://download.tensorflow.org/models/object_detection/tf2/20200711/ssd_mobilenet_v2_320x320_coco17_tpu-8.tar.gz
18,ssd_mobilenet_v1_fpn_640x640_coco17_tpu-8,http://download.tensorflow.org/models/object_detection/tf2/20200711/ssd_mobilenet_v1_fpn_640x640_coco17_tpu-8.tar.gz
19,ssd_mobilenet_v2_fpnlite_320x320_coco17_tpu-8,http://download.tensorflow.org/models/object_detection/tf2/20200711/ssd_mobilenet_v2_fpnlite_320x320_coco17_tpu-8.tar.gz
20,ssd_mobilenet_v2_fpnlite_640x640_coco17_tpu-8,http://download.tensorflow.org/models/object_detection/tf2/20200711/ssd_mobilenet_v2_fpnlite_640x640_coco17_tpu-8.tar.gz
21,ssd_resnet50_v1_fpn_640x640_coco17_tpu-8,http://download.tensorflow.org/models/object_detection/tf2/20200711/ssd_resnet50_v1_fpn_640x640_coco17_tpu-8.tar.gz
22,ssd_resnet50_v1_fpn_1024x1024_coco17_tpu-8,http://download.tensorflow.org/models/object_detection/tf2/20200711/ssd_resnet50_v1_fpn_1024x1024_coco17_tpu-8.tar.gz
23,ssd_resnet101_v1_fpn_640x640_coco17_tpu-8,http://download.tensorflow.org/models/object_detection/tf2/20200711/ssd_resnet101_v1_fpn_640x640_coco17_tpu-8.tar.gz
24,ssd_resnet101_v1_fpn_1024x1024_coco17_tpu-8,http://download.tensorflow.org/models/object_detection/tf2/20200711/ssd_resnet101_v1_fpn_1024x1024_coco17_tpu-8.tar.gz
25,ssd_resnet152_v1_fpn_640x640_coco17_tpu-8,http://download.tensorflow.org/models/object_detection/tf2/20200711/ssd_resnet152_v1_fpn_640x640_coco17_tpu-8.tar.gz
26,ssd_resnet152_v1_fpn_1024x1024_coco17_tpu-8,http://download.tensorflow.org/models/object_detection/tf2/20200711/ssd_resnet152_v1_fpn_1024x1024_coco17_tpu-8.tar.gz
27,faster_rcnn_resnet50_v1_640x640_coco17_tpu-8,http://download.tensorflow.org/models/object_detection/tf2/20200711/faster_rcnn_resnet50_v1_640x640_coco17_tpu-8.tar.gz
28,faster_rcnn_resnet50_v1_1024x1024_coco17_tpu-8,http://download.tensorflow.org/models/object_detection/tf2/20200711/faster_rcnn_resnet50_v1_1024x1024_coco17_tpu-8.tar.gz
29,faster_rcnn_resnet50_v1_800x1333_coco17_gpu-8,http://download.tensorflow.org/models/object_detection/tf2/20200711/faster_rcnn_resnet50_v1_800x1333_coco17_gpu-8.tar.gz
30,faster_rcnn_resnet101_v1_640x640_coco17_tpu-8,http://download.tensorflow.org/models/object_detection/tf2/20200711/faster_rcnn_resnet101_v1_640x640_coco17_tpu-8.tar.gz
31,faster_rcnn_resnet101_v1_1024x1024_coco17_tpu-8,http://download.tensorflow.org/models/object_detection/tf2/20200711/faster_rcnn_resnet101_v1_1024x1024_coco17_tpu-8.tar.gz
32,faster_rcnn_resnet101_v1_800x1333_coco17_gpu-8,http://download.tensorflow.org/models/object_detection/tf2/20200711/faster_rcnn_resnet101_v1_800x1333_coco17_gpu-8.tar.gz
33,faster_rcnn_resnet152_v1_640x640_coco17_tpu-8,http://download.tensorflow.org/models/object_detection/tf2/20200711/faster_rcnn_resnet152_v1_640x640_coco17_tpu-8.tar.gz
34,faster_rcnn_resnet152_v1_1024x1024_coco17_tpu-8,http://download.tensorflow.org/models/object_detection/tf2/20200711/faster_rcnn_resnet152_v1_1024x1024_coco17_tpu-8.tar.gz
35,faster_rcnn_resnet152_v1_800x1333_coco17_gpu-8,http://download.tensorflow.org/models/object_detection/tf2/20200711/faster_rcnn_resnet152_v1_800x1333_coco17_gpu-8.tar.gz
36,faster_rcnn_inception_resnet_v2_640x640_coco17_tpu-8,http://download.tensorflow.org/models/object_detection/tf2/20200711/faster_rcnn_inception_resnet_v2_640x640_coco17_tpu-8.tar.gz
37,faster_rcnn_inception_resnet_v2_1024x1024_coco17_tpu-8,http://download.tensorflow.org/models/object_detection/tf2/20200711/faster_rcnn_inception_resnet_v2_1024x1024_coco17_tpu-8.tar.gz
38,mask_rcnn_inception_resnet_v2_1024x1024_coco17_gpu-8,http://download.tensorflow.org/models/object_detection/tf2/20200711/mask_rcnn_inception_resnet_v2_1024x1024_coco17_gpu-8.tar.gz
39,extremenet,http://download.tensorflow.org/models/object_detection/tf2/20200711/extremenet.tar.gz
